date,description,href,media,title,parsed_date,month
"Feb 11, 2019","Όπως τονίζουν στον Αθήνα 9.84 έγκριτοι καθηγητές Οικονομικών της υγείας, .... γιατροί τις Τοπικές Μονάδες Υγείας και τον θεσμό του οικογενειακού γιατρού ... Φραγκούλης, προσθέτοντας ότι πολύ δύσκολα θα κλείσει κάποιος το ιατρείο του για να ενταχθεί σε μία ΤΟΜΥ .... Β. Κικίλιας: Πρώτη προτεραιότητα οι ευπαθείς ομάδες ...",http://athina984.gr/wp-site/2019/02/12/to-dimosio-systima-ygeias-meta-apo-9-chronia-oikonomikis-krisis-i-nea-ereyna-toy-athina-9-84/,Athina 9.84 fm,Το δημόσιο σύστημα υγείας μετά από 9 χρόνια οικονομικής ...,2019-02-11,2
"Feb 13, 2019","Η διοίκηση της 5ης ΥΠε Θεσσαλίας & Στ. Ελλάδας ανακοινώνει την έναρξη λειτουργίας τριών (3) νέων Τοπικών Ομάδων Υγείας (ΤΟΜΥ), στην Αγχίαλο Βόλου, στην ...",https://volos.ert.gr/blog/2019/02/13/dyo-akomi-topikes-omades-ygeias-se-agchialo-kai-volo/,Larissanet.gr,Λειτουργία νέων ΤΟΜΥ και τοπικών μονάδων υγείας,2019-02-13,2
"Feb 13, 2019","Η διοίκηση της 5ης ΥΠε Θεσσαλίας & Στ. Ελλάδας ανακοινώνει την έναρξη λειτουργίας τριών (3) νέων Τοπικών Ομάδων Υγείας (ΤΟΜΥ), στην Αγχίαλο Βόλου, στην ...",https://volos.ert.gr/blog/2019/02/13/dyo-akomi-topikes-omades-ygeias-se-agchialo-kai-volo/,Larissanet.gr,Λειτουργία νέων ΤΟΜΥ και τοπικών μονάδων υγείας,2019-02-13,2
"Feb 13, 2019","Η διοίκηση της 5ης ΥΠε Θεσσαλίας & Στ. Ελλάδας ανακοινώνει την έναρξη λειτουργίας τριών (3) νέων Τοπικών Ομάδων Υγείας (ΤΟΜΥ), στην Αγχίαλο Βόλου, στην ...",https://volos.ert.gr/blog/2019/02/13/dyo-akomi-topikes-omades-ygeias-se-agchialo-kai-volo/,Larissanet.gr,Λειτουργία νέων ΤΟΜΥ και τοπικών μονάδων υγείας,2019-02-13,2
"Feb 13, 2019","Η διοίκηση της 5ης ΥΠε Θεσσαλίας & Στ. Ελλάδας ανακοινώνει την έναρξη λειτουργίας τριών (3) νέων Τοπικών Ομάδων Υγείας (ΤΟΜΥ), στην Αγχίαλο Βόλου, στην ...",https://volos.ert.gr/blog/2019/02/13/dyo-akomi-topikes-omades-ygeias-se-agchialo-kai-volo/,Larissanet.gr,Λειτουργία νέων ΤΟΜΥ και τοπικών μονάδων υγείας,2019-02-13,2
"Feb 13, 2019","Η διοίκηση της 5ης ΥΠε Θεσσαλίας & Στ. Ελλάδας ανακοινώνει την έναρξη λειτουργίας τριών (3) νέων Τοπικών Ομάδων Υγείας (ΤΟΜΥ), στην Αγχίαλο Βόλου, στην ...",https://volos.ert.gr/blog/2019/02/13/dyo-akomi-topikes-omades-ygeias-se-agchialo-kai-volo/,Larissanet.gr,Λειτουργία νέων ΤΟΜΥ και τοπικών μονάδων υγείας,2019-02-13,2
"Feb 13, 2019","Η διοίκηση της 5ης ΥΠε Θεσσαλίας & Στ. Ελλάδας ανακοινώνει την έναρξη λειτουργίας τριών (3) νέων Τοπικών Ομάδων Υγείας (ΤΟΜΥ), στην Αγχίαλο Βόλου, στην ...",https://volos.ert.gr/blog/2019/02/13/dyo-akomi-topikes-omades-ygeias-se-agchialo-kai-volo/,Larissanet.gr,Λειτουργία νέων ΤΟΜΥ και τοπικών μονάδων υγείας,2019-02-13,2
"Feb 13, 2019","Η διοίκηση της 5ης ΥΠε Θεσσαλίας & Στ. Ελλάδας ανακοινώνει την έναρξη λειτουργίας τριών (3) νέων Τοπικών Ομάδων Υγείας (ΤΟΜΥ), στην Αγχίαλο Βόλου, στην ...",https://volos.ert.gr/blog/2019/02/13/dyo-akomi-topikes-omades-ygeias-se-agchialo-kai-volo/,Larissanet.gr,Λειτουργία νέων ΤΟΜΥ και τοπικών μονάδων υγείας,2019-02-13,2
"Feb 13, 2019","Η διοίκηση της 5ης ΥΠε Θεσσαλίας & Στ. Ελλάδας ανακοινώνει την έναρξη λειτουργίας τριών (3) νέων Τοπικών Ομάδων Υγείας (ΤΟΜΥ), στην Αγχίαλο Βόλου, στην ...",https://volos.ert.gr/blog/2019/02/13/dyo-akomi-topikes-omades-ygeias-se-agchialo-kai-volo/,Larissanet.gr,Λειτουργία νέων ΤΟΜΥ και τοπικών μονάδων υγείας,2019-02-13,2
"Feb 13, 2019","Η διοίκηση της 5ης ΥΠε Θεσσαλίας & Στ. Ελλάδας ανακοινώνει την έναρξη λειτουργίας τριών (3) νέων Τοπικών Ομάδων Υγείας (ΤΟΜΥ), στην Αγχίαλο Βόλου, στην ...",https://volos.ert.gr/blog/2019/02/13/dyo-akomi-topikes-omades-ygeias-se-agchialo-kai-volo/,Larissanet.gr,Λειτουργία νέων ΤΟΜΥ και τοπικών μονάδων υγείας,2019-02-13,2
